# Matter power spectrum P(k) at redshift z=0
# for k=2.09001e-07 to 345.411 h/Mpc,
# number of wavenumbers equal to 592
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.339267171489e-02       2.590685399073e+04 
       1.352161248041e-02       2.595610806671e+04 
       1.365058948510e-02       2.600168977386e+04 
       1.377960282313e-02       2.604380056025e+04 
       1.390865261203e-02       2.608484805865e+04 
       1.403773899228e-02       2.612505000296e+04 
       1.416686212700e-02       2.616132919461e+04 
       1.429602220157e-02       2.619648689228e+04 
       1.442521942335e-02       2.622892802002e+04 
       1.455445402141e-02       2.625780113448e+04 
       1.468372624635e-02       2.628752981718e+04 
       1.481303637002e-02       2.631367493118e+04 
       1.494238468541e-02       2.633727181736e+04 
       1.507177150645e-02       2.635879417411e+04 
       1.520119716793e-02       2.638032300907e+04 
       1.533066202540e-02       2.639875405399e+04 
       1.546016645506e-02       2.641516317183e+04 
       1.558971085376e-02       2.642898326164e+04 
       1.571929563893e-02       2.644239424928e+04 
       1.584892124860e-02       2.645190627742e+04 
       1.597858814140e-02       2.646227808939e+04 
       1.610829679662e-02       2.646868684917e+04 
       1.623804771423e-02       2.647405687639e+04 
       1.636784141496e-02       2.647884214259e+04 
       1.649767844045e-02       2.647985165651e+04 
       1.662755935326e-02       2.648091185705e+04 
       1.675748473710e-02       2.647890420279e+04 
       1.688745519692e-02       2.647576167387e+04 
       1.701747135908e-02       2.647108553984e+04 
       1.714753387156e-02       2.646551921480e+04 
       1.727764340413e-02       2.645715540116e+04 
       1.740780064859e-02       2.644746899960e+04 
       1.753800631899e-02       2.643671237560e+04 
       1.766826115187e-02       2.642428833107e+04 
       1.779856590655e-02       2.641030920349e+04 
       1.792892136542e-02       2.639469011467e+04 
       1.805932833420e-02       2.637806252422e+04 
       1.818978764231e-02       2.636003591748e+04 
       1.832030014313e-02       2.634000673277e+04 
       1.845086671445e-02       2.631987039467e+04 
       1.858148825875e-02       2.629710765874e+04 
       1.871216570362e-02       2.627252795541e+04 
       1.884290000217e-02       2.624753970531e+04 
       1.897369213342e-02       2.622166275609e+04 
       1.910454310276e-02       2.619350624581e+04 
       1.923545394240e-02       2.616498326556e+04 
       1.936642571184e-02       2.613457121145e+04 
       1.949745949833e-02       2.610329195311e+04 
       1.962855641743e-02       2.607105908547e+04 
       1.975971761350e-02       2.603685055321e+04 
       1.989094426026e-02       2.600214404778e+04 
       2.002223756132e-02       2.596614230821e+04 
       2.015359875084e-02       2.592835370913e+04 
       2.028502909405e-02       2.589047416223e+04 
       2.041652988793e-02       2.585067425588e+04 
       2.054810246183e-02       2.581068390206e+04 
       2.067974817815e-02       2.576861201061e+04 
       2.081146843302e-02       2.572624192040e+04 
       2.094326465702e-02       2.568303753485e+04 
       2.107513831591e-02       2.563814353734e+04 
       2.120709091140e-02       2.559230529171e+04 
       2.133912398191e-02       2.554632520572e+04 
       2.147123910338e-02       2.549867316549e+04 
       2.160343789014e-02       2.544996892524e+04 
       2.173572199574e-02       2.540112755897e+04 
       2.186809311380e-02       2.535072186410e+04 
       2.200055297902e-02       2.530003026659e+04 
       2.213310336804e-02       2.524798695791e+04 
       2.226574610043e-02       2.519469663424e+04 
       2.239848303972e-02       2.514107303098e+04 
       2.253131609442e-02       2.508679197391e+04 
       2.266424721907e-02       2.503163027901e+04 
       2.279727841538e-02       2.497568340120e+04 
       2.293041173330e-02       2.491891750343e+04 
       2.306364927226e-02       2.486199918342e+04 
       2.319699318235e-02       2.480334521855e+04 
       2.333044566554e-02       2.474476818786e+04 
       2.346400897700e-02       2.468484046436e+04 
       2.359768542641e-02       2.462503706224e+04 
       2.373147737933e-02       2.456413367882e+04 
       2.386538725858e-02       2.450205563398e+04 
       2.399941754577e-02       2.443985892460e+04 
       2.413357078271e-02       2.437693985640e+04 
       2.426784957303e-02       2.431353424907e+04 
       2.440225658374e-02       2.424949128402e+04 
       2.453679454691e-02       2.418476583427e+04 
       2.467146626133e-02       2.411971119990e+04 
       2.480627459433e-02       2.405421954605e+04 
       2.494122248356e-02       2.398791175753e+04 
       2.507631293888e-02       2.392079811161e+04 
       2.521154904429e-02       2.385344336301e+04 
       2.534693395995e-02       2.378571591977e+04 
       2.548247092424e-02       2.371735032394e+04 
       2.561816325591e-02       2.364856685096e+04 
       2.575401435631e-02       2.357931396910e+04 
       2.589002771163e-02       2.350987856898e+04 
       2.602620689533e-02       2.343968000018e+04 
       2.616255557054e-02       2.336908646394e+04 
       2.629907749263e-02       2.329813915814e+04 
       2.643577651180e-02       2.322680276519e+04 
       2.657265657583e-02       2.315502201579e+04 
       2.670972173286e-02       2.308291436798e+04 
       2.684697613431e-02       2.301028482829e+04 
       2.698442403793e-02       2.293735069561e+04 
       2.712206981084e-02       2.286432928410e+04 
       2.725991793285e-02       2.279062894517e+04 
       2.739797299977e-02       2.271700479334e+04 
       2.753623972690e-02       2.264270571970e+04 
       2.767472295263e-02       2.256840084639e+04 
       2.781342764218e-02       2.249362615779e+04 
       2.795235889149e-02       2.241865189464e+04 
       2.809152193123e-02       2.234335124078e+04 
       2.823092213099e-02       2.226783290858e+04 
       2.837056500362e-02       2.219195753483e+04 
       2.851045620976e-02       2.211595457440e+04 
       2.865060156246e-02       2.203969167272e+04 
       2.879100703213e-02       2.196306580810e+04 
       2.893167875152e-02       2.188652360674e+04 
       2.907262302105e-02       2.180951660272e+04 
       2.921384631425e-02       2.173232748545e+04 
       2.935535528344e-02       2.165508130996e+04 
       2.949715676568e-02       2.157775964819e+04 
       2.963925778894e-02       2.150005626696e+04 
       2.978166557851e-02       2.142224309366e+04 
       2.992438756373e-02       2.134436366375e+04 
       3.006743138492e-02       2.126629926004e+04 
       3.021080490068e-02       2.118803914018e+04 
       3.035451619550e-02       2.110971620550e+04 
       3.049857358762e-02       2.103121578165e+04 
       3.064298563734e-02       2.095268734932e+04 
       3.078776115563e-02       2.087397104900e+04 
       3.093290921312e-02       2.079517997155e+04 
       3.107843914954e-02       2.071636511893e+04 
       3.122436058354e-02       2.063749418814e+04 
       3.137068342297e-02       2.055848655958e+04 
       3.151741787568e-02       2.047941525443e+04 
       3.166457446071e-02       2.040017558315e+04 
       3.181216402014e-02       2.032083047981e+04 
       3.196019773144e-02       2.024167600096e+04 
       3.210868712035e-02       2.016211609173e+04 
       3.225764407450e-02       2.008276745048e+04 
       3.240708085760e-02       2.000350518071e+04 
       3.255701012439e-02       1.992388907254e+04 
       3.270744493628e-02       1.984439952539e+04 
       3.285839877784e-02       1.976481678893e+04 
       3.300988557402e-02       1.968534232651e+04 
       3.316191970841e-02       1.960577132398e+04 
       3.331451604228e-02       1.952619790092e+04 
       3.346768993474e-02       1.944659525865e+04 
       3.362145726389e-02       1.936693720549e+04 
       3.377583444913e-02       1.928728049823e+04 
       3.393083847468e-02       1.920770019843e+04 
       3.408648691437e-02       1.912811393254e+04 
       3.424279795779e-02       1.904866376611e+04 
       3.439979043792e-02       1.896904456491e+04 
       3.455748386029e-02       1.888949056773e+04 
       3.471589843383e-02       1.880993546824e+04 
       3.487505510348e-02       1.873048877781e+04 
       3.503497558470e-02       1.865094547031e+04 
       3.519568240002e-02       1.857145694117e+04 
       3.535719891779e-02       1.849207069244e+04 
       3.551954939321e-02       1.841263390850e+04 
       3.568275901195e-02       1.833330762033e+04 
       3.584685393639e-02       1.825393394794e+04 
       3.601186135478e-02       1.817467682260e+04 
       3.617780953356e-02       1.809537673262e+04 
       3.634472787295e-02       1.801619380988e+04 
       3.651264696617e-02       1.793697239597e+04 
       3.668159866267e-02       1.785785586885e+04 
       3.685161613537e-02       1.777866407283e+04 
       3.702273395260e-02       1.769956170953e+04 
       3.719498815490e-02       1.762053316428e+04 
       3.736841633713e-02       1.754157624342e+04 
       3.754305773635e-02       1.746259059512e+04 
       3.771895332599e-02       1.738364345902e+04 
       3.789614591674e-02       1.730461987304e+04 
       3.807468026492e-02       1.722572814455e+04 
       3.825460318882e-02       1.714698231465e+04 
       3.843596369380e-02       1.706808787865e+04 
       3.861881310701e-02       1.698935634654e+04 
       3.880320522248e-02       1.691054035992e+04 
       3.898919645764e-02       1.683168661336e+04 
       3.917684602241e-02       1.675290631755e+04 
       3.936621610189e-02       1.667418522488e+04 
       3.955737205420e-02       1.659555721339e+04 
       3.975038262483e-02       1.651670427838e+04 
       3.994532017921e-02       1.643800247659e+04 
       4.014226095539e-02       1.635926739293e+04 
       4.034128533895e-02       1.628057084790e+04 
       4.054247816239e-02       1.620175332814e+04 
       4.074592903183e-02       1.612292507503e+04 
       4.095173268380e-02       1.604415813408e+04 
