# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 1200, i.e. number of multipoles equal to 1199
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[2]-dens[2]        5:lens[1]-lens[1]        6:lens[1]-lens[2]        7:lens[2]-lens[2]        8:dens[1]-lens[1]        9:dens[1]-lens[2]       10:dens[2]-lens[1]       11:dens[2]-lens[2]    
   28       9.280999070453e-04       1.429885029683e-16       4.819050681877e-04       1.724144905104e-11       2.173965774626e-11       3.042943743201e-11       6.737795655325e-09       4.717096010943e-08      -4.234890974140e-19       2.190930116111e-09 
   29       9.971861304494e-04       1.037677177445e-16       5.144444945511e-04       1.563129686822e-11       1.975429873644e-11       2.777520858889e-11       6.746984031844e-09       4.729753042179e-08      -3.073288846034e-19       2.151503366428e-09 
   30       1.067793967770e-03       0.000000000000e+00       5.473971986156e-04       1.421710374884e-11       1.800517409069e-11       2.542408981813e-11       6.748052486256e-09       4.736764763705e-08       0.000000000000e+00       2.108942739816e-09 
   31       1.139806620289e-03      -4.688799778665e-17       5.863483673217e-04       1.295532857224e-11       1.644048872463e-11       2.331089346867e-11       6.741728355249e-09       4.738555555905e-08       1.388681988413e-19       2.118982572034e-09 
   32       1.212971841058e-03      -3.387647103105e-17       6.303213428983e-04       1.183223967539e-11       1.504416628336e-11       2.141603699312e-11       6.728652210110e-09       4.735554783514e-08       1.003319556657e-19       2.173113259091e-09 
   33       1.286973982877e-03       0.000000000000e+00       6.757803648828e-04       1.083357369941e-11       1.379929096920e-11       1.971845470722e-11       6.709077683539e-09       4.727954925666e-08       0.000000000000e+00       2.237564701160e-09 
   34       1.361531552281e-03       1.543464715405e-17       7.193445486546e-04       9.937596965177e-12       1.267979606359e-11       1.818498461510e-11       6.683012069262e-09       4.715794971233e-08      -4.571279967610e-20       2.278322512451e-09 
   35       1.436636042267e-03       1.139887632228e-17       7.616550037092e-04       9.135129077887e-12       1.167478814147e-11       1.680207859797e-11       6.651203166428e-09       4.699641283651e-08      -3.376005584397e-20       2.293925232824e-09 
   36       1.512402798640e-03       0.000000000000e+00       8.048790710858e-04       8.415100464389e-12       1.077098141574e-11       1.555285396395e-11       6.614417163566e-09       4.680091937400e-08       0.000000000000e+00       2.294072276177e-09 
   37       1.588936482720e-03      -6.624542792952e-18       8.511714365511e-04       7.762720568557e-12       9.950493805393e-12       1.441426697254e-11       6.573187162982e-09       4.657567033937e-08       1.961991062170e-20       2.289006590990e-09 
   38       1.666066987608e-03      -7.231545697616e-18       9.007558423839e-04       7.173657847984e-12       9.208188304842e-12       1.337997847929e-11       6.527979469440e-09       4.632294117215e-08       2.141767132894e-20       2.282052540936e-09 
   39       1.743528020310e-03      -4.068097220272e-18       9.532221190088e-04       6.643765441266e-12       8.539096525412e-12       1.244374410078e-11       6.479019112095e-09       4.604273382882e-08       1.204848490782e-20       2.274736235543e-09 
   40       1.821026218170e-03       0.000000000000e+00       1.008028108516e-03       6.164854083024e-12       7.933240538944e-12       1.159256616876e-11       6.426199633758e-09       4.573247884248e-08       0.000000000000e+00       2.268794379379e-09 
   41       1.898284532060e-03       2.207252226312e-18       1.064469428025e-03       5.727023811823e-12       7.378507011200e-12       1.081053161639e-11       6.369300164770e-09       4.538906009050e-08      -6.537219662292e-21       2.265689660500e-09 
   42       1.975192304224e-03       2.426713284067e-18       1.121598991964e-03       5.327380680394e-12       6.871400149073e-12       1.009319202676e-11       6.308807498120e-09       4.501631462102e-08      -7.187197550982e-21       2.264947216411e-09 
   43       2.051701985202e-03       1.388249090884e-18       1.178265838611e-03       4.963591412268e-12       6.409085336295e-12       9.436909888063e-12       6.245301507099e-09       4.461953120987e-08      -4.111577800174e-21       2.265290611276e-09 
   44       2.127790551877e-03       0.000000000000e+00       1.233123489739e-03       4.631310013163e-12       5.986210592087e-12       8.834597763566e-12       6.179207444171e-09       4.420326906983e-08       0.000000000000e+00       2.265062898040e-09 
   45       2.203439737385e-03      -8.668014951512e-19       1.285029578025e-03       4.325421908211e-12       5.596455945958e-12       8.277823842356e-12       6.110846059165e-09       4.377127536718e-08       2.567206280215e-21       2.262656190022e-09 
   46       2.278565318952e-03      -1.125706097627e-18       1.334411981447e-03       4.044580095568e-12       5.238185664511e-12       7.764502062955e-12       6.040645116738e-09       4.332645859324e-08       3.334004128593e-21       2.258013790926e-09 
   47       2.353069832647e-03      -9.322676725395e-19       1.382293219867e-03       3.787765114315e-12       4.910159728940e-12       7.293051444610e-12       5.968959861545e-09       4.287072660549e-08       2.761097479842e-21       2.251533636354e-09 
   48       2.426862942631e-03      -4.794948893584e-19       1.429928532016e-03       3.552935267235e-12       4.609850404773e-12       6.860101324531e-12       5.895995963338e-09       4.240486013350e-08       1.420120175355e-21       2.243652752715e-09 
   49       2.499862043721e-03       0.000000000000e+00       1.478818979394e-03       3.336954221542e-12       4.333350812438e-12       6.460363537676e-12       5.821795088686e-09       4.192840795808e-08       0.000000000000e+00       2.234847893445e-09 
   50       2.572003288968e-03       2.894540125780e-19       1.530334539661e-03       3.136394765012e-12       4.076382971018e-12       6.088020905839e-12       5.746356154965e-09       4.144064143513e-08      -8.572760465695e-22       2.225559135487e-09 
   51       2.643276803297e-03       3.770420662073e-19       1.584432375659e-03       2.950375242598e-12       3.837856619796e-12       5.741633564350e-12       5.670071367188e-09       4.094396669969e-08      -1.116685614512e-21       2.215934743611e-09 
   52       2.713702069769e-03       3.144000246671e-19       1.640613305897e-03       2.778367891907e-12       3.617118357211e-12       5.420343457210e-12       5.593383598282e-09       4.044125747674e-08      -9.311586589781e-22       2.206018152133e-09 
   53       2.783319407184e-03       1.640575521320e-19       1.698276282351e-03       2.619359550283e-12       3.412897849011e-12       5.122419300244e-12       5.516653198929e-09       3.993482302193e-08      -4.858893074205e-22       2.195816033557e-09 
   54       2.852191063225e-03       0.000000000000e+00       1.756713140924e-03       2.471820486388e-12       3.223268138735e-12       4.845200116610e-12       5.440149954332e-09       3.942635315225e-08       0.000000000000e+00       2.185295309389e-09 
   55       2.920374925621e-03      -1.091294963973e-19       1.815241962622e-03       2.334094411617e-12       3.046139883425e-12       4.585789756022e-12       5.364074797269e-09       3.891711619863e-08       3.232088662456e-22       2.174395885470e-09 
   56       2.987835503680e-03      -1.565976220816e-19       1.873657979264e-03       2.205753376241e-12       2.880978763476e-12       4.343471849381e-12       5.288649690071e-09       3.840873638028e-08       4.637952300769e-22       2.163079410765e-09 
   57       3.054512747391e-03      -1.540816965356e-19       1.931885487456e-03       2.086524864619e-12       2.727445194955e-12       4.117795878727e-12       5.214035982907e-09       3.790251326362e-08       4.563438125398e-22       2.151287395509e-09 
   58       3.120347517655e-03      -1.156530646335e-19       1.989849199513e-03       1.975885667324e-12       2.584879307950e-12       3.907852142192e-12       5.140299879744e-09       3.739914162650e-08       3.425297204885e-22       2.138924223126e-09 
   59       3.185281612596e-03      -5.789156527163e-20       2.047474394342e-03       1.873047122325e-12       2.452282059330e-12       3.712244548611e-12       5.067405554448e-09       3.689866634298e-08       1.714574683687e-22       2.125854773682e-09 
   60       3.249257793884e-03       0.000000000000e+00       2.104687068321e-03       1.776940356178e-12       2.328296345512e-12       3.529063412145e-12       4.995208266896e-09       3.640043726794e-08       0.000000000000e+00       2.111902047347e-09 
   61       3.312237517738e-03       4.045670292498e-20       2.161418430301e-03       1.686475349962e-12       2.211537096036e-12       3.356355253844e-12       4.923554607906e-09       3.590374032273e-08      -1.198206306828e-22       2.096909833589e-09 
   62       3.374258719156e-03       6.171055451561e-20       2.217619224300e-03       1.601419477641e-12       2.101710864718e-12       3.193716979613e-12       4.852625101189e-09       3.540995834665e-08      -1.827681700992e-22       2.080952532989e-09 
   63       3.435391103706e-03       6.662093051360e-20       2.273248904061e-03       1.521690872729e-12       1.998715170698e-12       3.041012884644e-12       4.782656636466e-09       3.492081742121e-08      -1.973112323468e-22       2.064168429313e-09 
   64       3.495720163784e-03       5.860358724980e-20       2.328271855613e-03       1.447096054278e-12       1.902304033622e-12       2.897898012875e-12       4.713838710750e-09       3.443773027759e-08      -1.735662641013e-22       2.046698493185e-09 
   65       3.555347766693e-03       4.165501811880e-20       2.382657685991e-03       1.377323856314e-12       1.812080159309e-12       2.763806721256e-12       4.646309943572e-09       3.396177263667e-08      -1.233696811960e-22       2.028686069400e-09 
   66       3.614392742710e-03       2.037681005355e-20       2.436381511946e-03       1.311939357269e-12       1.727487125409e-12       2.637941244020e-12       4.580154592201e-09       3.349365954909e-08      -6.035000520057e-23       2.010276564241e-09 
   67       3.672991473164e-03       0.000000000000e+00       2.489424248663e-03       1.250377809426e-12       1.647801567064e-12       2.519260256958e-12       4.515399066872e-09       3.303372173532e-08       0.000000000000e+00       1.991617132783e-09 
   68       3.731274422444e-03      -1.475483720804e-20       2.541777175191e-03       1.192077989682e-12       1.572304411325e-12       2.406727367128e-12       4.452048106187e-09       3.258214063552e-08       4.369940632996e-23       1.972841014508e-09 
   69       3.789288897607e-03      -2.341998372625e-20       2.593456059571e-03       1.136927198003e-12       1.500852338195e-12       2.300140612381e-12       4.390209604700e-09       3.213976175204e-08       6.936297369224e-23       1.954017553342e-09 
   70       3.847061622369e-03      -2.675622065435e-20       2.644490427642e-03       1.084895936243e-12       1.433408606648e-12       2.199451268898e-12       4.329988934702e-09       3.170740436502e-08       7.924390772619e-23       1.935191442103e-09 
   71       3.904621381690e-03      -2.566097720600e-20       2.694919930524e-03       1.035904004973e-12       1.369871074103e-12       2.104514095074e-12       4.271449097820e-09       3.128560066658e-08       7.600012483622e-23       1.916396485475e-09 
   72       3.961998994613e-03      -2.117375092469e-20       2.744794742716e-03       9.898179986855e-13       1.310068961337e-12       2.015082543499e-12       4.214608254573e-09       3.087457871749e-08       6.271030524711e-23       1.897654894699e-09 
   73       4.019227287087e-03      -1.448152789969e-20       2.794175960187e-03       9.464488009916e-13       1.253759617397e-12       1.930803972941e-12       4.159437253917e-09       3.047424540385e-08       4.288994605935e-23       1.878976582253e-09 
   74       4.076341064799e-03      -6.924202981944e-21       2.843135998470e-03       9.055490798203e-13       1.200625284513e-12       1.851214860323e-12       4.105857162801e-09       3.008416939375e-08       2.050741430439e-23       1.860358456538e-09 
   75       4.133377086000e-03       0.000000000000e+00       2.891758990761e-03       8.668107826192e-13       1.150269863014e-12       1.775736012705e-12       4.053736795713e-09       2.970356409394e-08       0.000000000000e+00       1.841783716565e-09 
   76       4.190375684434e-03       4.963091950128e-21       2.940116715304e-03       8.299339013354e-13       1.102307540199e-12       1.703802788950e-12       4.002946111019e-09       2.933163568558e-08      -1.469919110076e-23       1.823234937306e-09 
   77       4.247386039836e-03       7.874162472687e-21       2.988190429643e-03       7.948527811233e-13       1.056654486931e-12       1.635293763861e-12       3.953533102305e-09       2.896873817682e-08      -2.332090964817e-23       1.804737639687e-09 
   78       4.304461823633e-03       8.998136462622e-21       3.035935439504e-03       7.615467211385e-13       1.013284722956e-12       1.570171897326e-12       3.905574825582e-09       2.861539899392e-08      -2.664978379283e-23       1.786323421296e-09 
   79       4.361659640674e-03       8.640454245360e-21       3.083304202960e-03       7.299713393693e-13       9.721416423595e-13       1.508354472444e-12       3.859123090722e-09       2.827196318545e-08      -2.559043624946e-23       1.768016454868e-09 
   80       4.419039035889e-03       7.148499971812e-21       3.130246226734e-03       7.000575292809e-13       9.331366622186e-13       1.449711075987e-12       3.814203136602e-09       2.793858386524e-08      -2.117171477485e-23       1.749833065759e-09 
   81       4.476662500959e-03       4.913030013383e-21       3.176707962502e-03       6.717104164599e-13       8.961478712639e-13       1.394061578866e-12       3.770812306245e-09       2.761521265527e-08      -1.455092264584e-23       1.731781309424e-09 
   82       4.534595480983e-03       2.369601356975e-21       3.222632703198e-03       6.448083152581e-13       8.610186785363e-13       1.341174116593e-12       3.728918721972e-09       2.730159012855e-08      -7.018049137273e-24       1.713860548887e-09 
   83       4.592906381138e-03       0.000000000000e+00       3.267960479313e-03       6.192016854370e-13       8.275564620447e-13       1.290763069743e-12       3.688459960536e-09       2.699723625209e-08       0.000000000000e+00       1.696061032213e-09 
   84       4.651661235059e-03      -1.770170888399e-21       3.312646055695e-03       5.947457226122e-13       7.955747063378e-13       1.242551782547e-12       3.649367489402e-09       2.670165196903e-08       5.242715716542e-24       1.678373868787e-09 
   85       4.710906679811e-03      -2.901362365824e-21       3.356716577050e-03       5.714066227353e-13       7.650304015058e-13       1.196477088808e-12       3.611647532134e-09       2.641498327639e-08       8.592965896331e-24       1.660823783905e-09 
   86       4.770684157623e-03      -3.462529377844e-21       3.400223333150e-03       5.491711029781e-13       7.359070503096e-13       1.152515146974e-12       3.575311242050e-09       2.613745022677e-08       1.025497442489e-23       1.643441044761e-09 
   87       4.831034921410e-03      -3.532464855561e-21       3.443224705573e-03       5.280138631971e-13       7.081725931858e-13       1.110618798879e-12       3.540349254267e-09       2.586913965739e-08       1.046210235281e-23       1.626251300338e-09 
   88       4.891999951719e-03      -3.200116534611e-21       3.485786368213e-03       5.078971078512e-13       6.817787878111e-13       1.070716638237e-12       3.506730793807e-09       2.560999918153e-08       9.477786218678e-24       1.609275333650e-09 
   89       4.953619873673e-03      -2.564903774172e-21       3.527981487795e-03       4.887700679200e-13       6.566605886660e-13       1.032712079146e-12       3.474402783702e-09       2.535983118002e-08       7.596476372083e-24       1.592528813984e-09 
   90       5.015934873920e-03      -1.737034375974e-21       3.569890924386e-03       4.705685228223e-13       6.327355265987e-13       9.964824245832e-13       3.443288953098e-09       2.511828679271e-08       5.144575296531e-24       1.576022049145e-09 
   91       5.078984617579e-03      -8.378214033015e-22       3.611603431908e-03       4.532143223336e-13       6.099030883893e-13       9.618779349085e-13       3.413288945358e-09       2.488485990994e-08       2.481375932421e-24       1.559759737699e-09 
   92       5.142808165186e-03       0.000000000000e+00       3.653215858653e-03       4.366149085051e-13       5.880440963135e-13       9.287208963599e-13       3.384277426170e-09       2.465888116398e-08       0.000000000000e+00       1.543740721216e-09 
   93       5.207438243509e-03       6.596594379627e-22       3.694814321283e-03       4.206833313825e-13       5.670466136540e-13       8.968443933198e-13       3.356134856980e-09       2.443970271125e-08      -1.953713579654e-24       1.527963113514e-09 
   94       5.272883252729e-03       1.127911604747e-21       3.736414052441e-03       4.054027781433e-13       5.468894657088e-13       8.662173188632e-13       3.328847046909e-09       2.422729742010e-08      -3.340536179774e-24       1.512441108978e-09 
   95       5.339142386985e-03       1.420120533939e-21       3.778010834846e-03       3.907709103799e-13       5.275701916737e-13       8.368365310376e-13       3.302418994094e-09       2.402173911103e-08      -4.205971463807e-24       1.497190255899e-09 
   96       5.406210880986e-03       1.553791956077e-21       3.819599161864e-03       3.767800409195e-13       5.090793850719e-13       8.086884430425e-13       3.276844103341e-09       2.382301645155e-08      -4.601866159786e-24       1.482222133105e-09 
   97       5.474079849448e-03       1.548636763070e-21       3.861172176839e-03       3.634169370575e-13       4.914004374349e-13       7.817486367355e-13       3.252103728896e-09       2.363102956656e-08      -4.586598022922e-24       1.467544176012e-09 
   98       5.542736126540e-03       1.426634472618e-21       3.902721612438e-03       3.506626237907e-13       4.745092819842e-13       7.559814761386e-13       3.228166717212e-09       2.344558664880e-08      -4.225263798188e-24       1.453159502681e-09 
   99       5.612162105324e-03       1.212096692626e-21       3.944237729987e-03       3.384921870501e-13       4.583741373122e-13       7.313397209444e-13       3.204988949717e-09       2.326640056930e-08      -3.589867182908e-24       1.439066739866e-09 
  100       5.682335577202e-03       9.317305856245e-22       3.985709258813e-03       3.268745769349e-13       4.429552510637e-13       7.077641400225e-13       3.182512885587e-09       2.309308548772e-08      -2.759506789345e-24       1.425259849070e-09 
  101       5.753229571356e-03       6.147023331849e-22       4.027123335577e-03       3.157724109451e-13       4.282046436172e-13       6.851831249258e-13       3.160667104512e-09       2.292515346286e-08      -1.820564107287e-24       1.411727952594e-09 
  102       5.824812194190e-03       2.927006003399e-22       4.068465443620e-03       3.051417772150e-13       4.140658517662e-13       6.635123033962e-13       3.139365849466e-09       2.276201106303e-08      -8.668914666378e-25       1.398455159596e-09 
  103       5.897046468778e-03       0.000000000000e+00       4.109719352299e-03       2.949320377463e-13       4.004736724001e-13       6.426541528716e-13       3.118508569476e-09       2.260295597648e-08       0.000000000000e+00       1.385420392135e-09 
  104       5.969892893870e-03      -2.336078270677e-22       4.150874786564e-03       2.850964064283e-13       3.873678773030e-13       6.225186327675e-13       3.098001101575e-09       2.244733117308e-08       6.918763801291e-25       1.372604910673e-09 
  105       6.043317860451e-03      -4.052451910510e-22       4.191951746276e-03       2.756257342909e-13       3.747370195872e-13       6.030890879695e-13       3.077823460231e-09       2.229501840699e-08       1.200214818863e-24       1.360016422982e-09 
  106       6.117286078104e-03      -5.194432627407e-22       4.232979374281e-03       2.665189425633e-13       3.625800945671e-13       5.843645688516e-13       3.057970395499e-09       2.214600537025e-08       1.538435286260e-24       1.347667922867e-09 
  107       6.191757827880e-03      -5.812950061108e-22       4.273988543524e-03       2.577725780198e-13       3.508929955263e-13       5.663394538476e-13       3.038430354793e-09       2.200023245630e-08       1.721621615437e-24       1.335570193294e-09 
  108       6.266688831620e-03      -5.964700917518e-22       4.315011881341e-03       2.493807346169e-13       3.396684109281e-13       5.490032939332e-13       3.019185263443e-09       2.185759110181e-08       1.766565671693e-24       1.323731717048e-09 
  109       6.342030121287e-03      -5.712298103038e-22       4.356083793740e-03       2.413349751309e-13       3.288957216250e-13       5.323406571073e-13       3.000210305262e-09       2.171792212843e-08       1.691811521624e-24       1.312158587395e-09 
  110       6.417727908294e-03      -5.124419858895e-22       4.397240489692e-03       2.336242527955e-13       3.185608980690e-13       5.163309728745e-13       2.981473703105e-09       2.158101408448e-08       1.517699602251e-24       1.300854418744e-09 
  111       6.493723452830e-03      -4.275958895478e-22       4.438520005415e-03       2.262348329390e-13       3.086463975218e-13       5.009483767262e-13       2.962936499433e-09       2.144660158679e-08       1.266410890131e-24       1.289820257312e-09 
  112       6.569952933192e-03      -3.248171526666e-22       4.479962228664e-03       2.191502146220e-13       2.991310612646e-13       4.861615546230e-13       2.944552336874e-09       2.131436366239e-08       9.620110704838e-25       1.279054491782e-09 
  113       6.646347315110e-03      -2.128826804163e-22       4.521608923013e-03       2.123510522749e-13       2.899900118082e-13       4.719335874759e-13       2.926267238788e-09       2.118392209031e-08       6.304947063092e-25       1.268552763966e-09 
  114       6.722832221076e-03      -1.012355651826e-22       4.563503752147e-03       2.058150773353e-13       2.811945501030e-13       4.582217956287e-13       2.908019389827e-09       2.105483974329e-08       2.998294075076e-25       1.258307879468e-09 
  115       6.799327799675e-03       0.000000000000e+00       4.605692304144e-03       1.995170198853e-13       2.727120527494e-13       4.449775833393e-13       2.889738916497e-09       2.092661892958e-08       0.000000000000e+00       1.248309718345e-09 
  116       6.875753835401e-03       8.208759091963e-23       4.648216341968e-03       1.934337096407e-13       2.645126110527e-13       4.321564325874e-13       2.871362395372e-09       2.079880295808e-08      -2.431188456820e-25       1.238548807380e-09 
  117       6.952046062284e-03       1.442024057992e-22       4.691095709972e-03       1.875602500358e-13       2.565900836795e-13       4.197495954388e-13       2.852878848005e-09       2.067129838808e-08      -4.270843138374e-25       1.229027720621e-09 
  118       7.028141597543e-03       1.876762761434e-22       4.734344262933e-03       1.818956726024e-13       2.489434224978e-13       4.077559807707e-13       2.834288952089e-09       2.054408902747e-08      -5.558408902821e-25       1.219750903622e-09 
  119       7.103973795150e-03       2.139883280232e-22       4.777975416542e-03       1.764379013590e-13       2.415701170479e-13       3.961722846552e-13       2.815590725925e-09       2.041713547752e-08      -6.337693031990e-25       1.210721079512e-09 
  120       7.179472161493e-03       2.247684928949e-22       4.822002120641e-03       1.711837202427e-13       2.344661513626e-13       3.849929245791e-13       2.796779439204e-09       2.029037438730e-08      -6.656969211316e-25       1.201939192031e-09 
  121       7.254562271038e-03       2.218010184191e-22       4.866436832455e-03       1.661287405411e-13       2.276259607859e-13       3.742099736629e-13       2.777847523790e-09       2.016371770816e-08      -6.569081509768e-25       1.193404348568e-09 
  122       7.329165681994e-03       2.070279792790e-22       4.911291489836e-03       1.612673683244e-13       2.210423887935e-13       3.638130948805e-13       2.758784484495e-09       2.003705194811e-08      -6.131548359785e-25       1.185113763196e-09 
  123       7.403199851975e-03       1.825527879999e-22       4.956577484494e-03       1.565927718770e-13       2.147066438121e-13       3.537894752785e-13       2.739576809862e-09       1.991023742626e-08      -5.406666537213e-25       1.177062699713e-09 
  124       7.476578053663e-03       1.506437057674e-22       5.002305635234e-03       1.520968491298e-13       2.086082560390e-13       3.441237601958e-13       2.720207882947e-09       1.978310752724e-08      -4.461615141234e-25       1.169244414675e-09 
  125       7.549209290475e-03       1.137373532471e-22       5.048486161193e-03       1.477701950916e-13       2.027350342619e-13       3.347979874830e-13       2.700657892096e-09       1.965546795568e-08      -3.368559574301e-25       1.161650100434e-09 
  126       7.620998212220e-03       7.444222140250e-23       5.095128655078e-03       1.436020692818e-13       1.970730226782e-13       3.257915217213e-13       2.680903741728e-09       1.952709599057e-08      -2.204755522074e-25       1.154268828175e-09 
  127       7.691845030770e-03       3.554218231449e-23       5.142242056398e-03       1.395803631613e-13       1.916064577152e-13       3.170809884429e-13       2.660918963113e-09       1.939773973972e-08      -1.052652933350e-25       1.147087490955e-09 
