# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       8.602900137289e+13       1.021282919040e-25       5.387846613303e-09       1.596797398478e+22       1.416504618283e+04       1.646543137405e-10       1.218604777510e+18       3.110530314668e-09       1.507157359005e+44       1.560799660566e+33       8.528007586192e+33       3.492914243310e-08       1.042604572681e+44       2.549761931787e+44       2.549761931787e+44       8.499206438953e+43      -6.310202612732e+52       7.046641290616e-06       1.537312759906e+00 
       8.510922951025e+13       1.043476118817e-25       5.446054274216e-09       1.562835871325e+22       1.416504618283e+04       1.664337259818e-10       1.205576166598e+18       3.144145684982e-09       1.443729090674e+44       1.511271504672e+33       8.257392144717e+33       3.492914243310e-08       9.987268699288e+43       2.442455960701e+44       2.442455960701e+44       8.141519868676e+43      -5.980013858000e+52       7.163083826476e-06       1.512322322708e+00 
       8.419929131143e+13       1.066151592527e-25       5.504261935130e-09       1.529596655799e+22       1.416504618283e+04       1.682323682564e-10       1.192686849988e+18       3.178124335189e-09       1.382970182115e+44       1.463315003544e+33       7.995364021724e+33       3.492914243310e-08       9.566957472218e+43       2.339665929431e+44       2.339665929431e+44       7.798886431121e+43      -5.667102617230e+52       7.279526362328e-06       1.488131374309e+00 
       8.329908164066e+13       1.089319819658e-25       5.564288585447e-09       1.497064389396e+22       1.416504618283e+04       1.700504483823e-10       1.179935338427e+18       3.212470191175e-09       1.324768294116e+44       1.416880284567e+33       7.741650719686e+33       3.492914243310e-08       9.164334917889e+43       2.241201785997e+44       2.241201785997e+44       7.470672619683e+43      -5.370564824236e+52       7.395968898175e-06       1.464702153154e+00 
       8.240849648618e+13       1.112991508465e-25       5.624315235764e-09       1.465224036350e+22       1.416504618283e+04       1.718881764237e-10       1.167320158584e+18       3.247187221356e-09       1.269015815230e+44       1.371919057709e+33       7.495988388118e+33       3.492914243310e-08       8.778656613779e+43       2.146881476697e+44       2.146881476697e+44       7.156271588694e+43      -5.089543719153e+52       7.512411434020e-06       1.441999238857e+00 
       8.152743294829e+13       1.137177599640e-25       5.684341886081e-09       1.434060880684e+22       1.416504618283e+04       1.737457647148e-10       1.154839852880e+18       3.282279437002e-09       1.215609662805e+44       1.328384565307e+33       7.258121549183e+33       3.492914243310e-08       8.409209466169e+43       2.056530609507e+44       2.056530609507e+44       6.855102031405e+43      -4.823227373083e+52       7.628853969864e-06       1.419989373602e+00 
       8.065578922741e+13       1.161889271662e-25       5.746187525801e-09       1.403560519407e+22       1.416504618283e+04       1.756234278843e-10       1.142492979319e+18       3.317750892751e-09       1.164451092389e+44       1.286231533434e+33       7.027802832008e+33       3.492914243310e-08       8.055310391673e+43       1.969982131639e+44       1.969982131639e+44       6.566607105188e+43      -4.570846342258e+52       7.745296505709e-06       1.398641299539e+00 
       7.979346461238e+13       1.187137945869e-25       5.808033165522e-09       1.373708855861e+22       1.416504618283e+04       1.775213828807e-10       1.130278111322e+18       3.353605687038e-09       1.115445515164e+44       1.245416124824e+33       6.804792715429e+33       3.492914243310e-08       7.716305054268e+43       1.887076020672e+44       1.887076020672e+44       6.290253401971e+43      -4.331671444961e+52       7.861739041554e-06       1.377925610716e+00 
       7.894035946874e+13       1.212935291709e-25       5.871697794646e-09       1.344492093200e+22       1.416504618283e+04       1.794398489969e-10       1.118193837564e+18       3.389847962590e-09       1.068502323054e+44       1.205895893277e+33       6.588859278900e+33       3.492914243310e-08       7.391566655467e+43       1.807658988679e+44       1.807658988679e+44       6.025529962002e+43      -4.105011654761e+52       7.978181577401e-06       1.357814617910e+00 
       7.809637522728e+13       1.239293232064e-25       5.935362423770e-09       1.315896728019e+22       1.416504618283e+04       1.813790478957e-10       1.106238761806e+18       3.426481906890e-09       1.023534721195e+44       1.167629739520e+33       6.379777961305e+33       3.492914243310e-08       7.080494775408e+43       1.731584198811e+44       1.731584198811e+44       5.771947329119e+43      -3.890212103996e+52       8.094624113249e-06       1.338282225163e+00 
       7.726141437266e+13       1.266223949167e-25       5.999027052894e-09       1.287909544108e+22       1.416504618283e+04       1.833392036354e-10       1.094411502740e+18       3.463511752689e-09       9.804595674597e+43       1.130577868465e+33       6.177331327427e+33       3.492914243310e-08       6.782514262725e+43       1.658710993805e+44       1.658710993805e+44       5.529036645774e+43      -3.686652191724e+52       8.211066649097e-06       1.319303816798e+00 
       7.643538043208e+13       1.293739889640e-25       6.064510671422e-09       1.260517606349e+22       1.416504618283e+04       1.853205426958e-10       1.082710693823e+18       3.500941778463e-09       9.391972187335e+43       1.094701747824e+33       5.981308841821e+33       3.492914243310e-08       6.497074171122e+43       1.588904635917e+44       1.588904635917e+44       5.296348786153e+43      -3.493743790675e+52       8.327509184945e-06       1.300856153932e+00 
       7.561817796419e+13       1.321853770911e-25       6.129994289950e-09       1.233708254734e+22       1.416504618283e+04       1.873232940040e-10       1.071134983124e+18       3.538776308949e-09       8.996713836576e+43       1.059964068034e+33       5.791506649871e+33       3.492914243310e-08       6.223646740715e+43       1.522036057798e+44       1.522036057798e+44       5.073453525764e+43      -3.310929548028e+52       8.443951720793e-06       1.282917279540e+00 
       7.480971254804e+13       1.350578586972e-25       6.195477908477e-09       1.207469098512e+22       1.416504618283e+04       1.893476889613e-10       1.059683033167e+18       3.577019715622e-09       8.618089815724e+43       1.026328703464e+33       5.607727365786e+33       3.492914243310e-08       5.961726422237e+43       1.457981623862e+44       1.457981623862e+44       4.859938745987e+43      -3.137681275101e+52       8.560394256641e-06       1.265466431284e+00 
       7.400989077217e+13       1.379927613627e-25       6.262780516408e-09       1.181788010470e+22       1.416504618283e+04       1.913939614698e-10       1.048353520774e+18       3.615676417184e-09       8.255400073962e+43       9.937606748384e+32       5.429779867331e+33       3.492914243310e-08       5.710828942312e+43       1.396622901692e+44       1.396622901692e+44       4.655409672091e+43      -2.973498421308e+52       8.676836792491e-06       1.248483961328e+00 
       7.321862022383e+13       1.409914415605e-25       6.330083124340e-09       1.156653121320e+22       1.416504618283e+04       1.934623479591e-10       1.037145136914e+18       3.654750880106e-09       7.907974021903e+43       9.622261128643e+32       5.257479097068e+33       3.492914243310e-08       5.470490408063e+43       1.337846443059e+44       1.337846443059e+44       4.459488143322e+43      -2.817906627956e+52       8.793279328341e-06       1.231951262567e+00 
       7.243580947828e+13       1.440552852251e-25       6.399204721674e-09       1.132052814215e+22       1.416504618283e+04       1.955530874143e-10       1.026056586551e+18       3.694247619116e-09       7.575169291715e+43       9.316922230079e+32       5.090645869902e+33       3.492914243310e-08       5.240266449409e+43       1.281543574173e+44       1.281543574173e+44       4.271811913708e+43      -2.670456357728e+52       8.909721864192e-06       1.215850700615e+00 
       7.166136808825e+13       1.471857083586e-25       6.468326319009e-09       1.107975719384e+22       1.416504618283e+04       1.976664214028e-10       1.015086588495e+18       3.734171197720e-09       7.256370549422e+43       9.021272513893e+32       4.929106686740e+33       3.492914243310e-08       5.019731397450e+43       1.227610194746e+44       1.227610194746e+44       4.092033982291e+43      -2.530721595876e+52       9.026164400042e-06       1.200165551046e+00 
       7.089520657347e+13       1.503841578459e-25       6.537447916344e-09       1.084410708874e+22       1.416504618283e+04       1.998025941027e-10       1.004233875255e+18       3.774526228780e-09       6.950988357200e+43       8.735004517607e+32       4.772693554056e+33       3.492914243310e-08       4.808477497434e+43       1.175946585520e+44       1.175946585520e+44       3.919821951545e+43      -2.398298619373e+52       9.142606935893e-06       1.184879941484e+00 
       7.013723641037e+13       1.536521118436e-25       6.608388503082e-09       1.061346891404e+22       1.416504618283e+04       2.019618523312e-10       9.934971928889e+17       3.815317374940e-09       6.658458083535e+43       8.457820535308e+32       4.621243809188e+33       3.492914243310e-08       4.606114154849e+43       1.126457223893e+44       1.126457223893e+44       3.754857412795e+43      -2.272804830472e+52       9.259049471745e-06       1.169978797974e+00 
       6.938737002177e+13       1.569910808456e-25       6.679329089820e-09       1.038773607338e+22       1.416504618283e+04       2.041444455725e-10       9.828753008635e+17       3.856549349325e-09       6.378238859265e+43       8.189432308052e+32       4.474599951177e+33       3.492914243310e-08       4.412267213233e+43       1.079050607303e+44       1.079050607303e+44       3.596835357499e+43      -2.153877651301e+52       9.375492007599e-06       1.155447795457e+00 
       6.864552076686e+13       1.604026079331e-25       6.752088665962e-09       1.016680423754e+22       1.416504618283e+04       2.063506260072e-10       9.723669719070e+17       3.898226915894e-09       6.109812577545e+43       7.929560724089e+32       4.332609476969e+33       3.492914243310e-08       4.226578262390e+43       1.033639084045e+44       1.033639084045e+44       3.445463613312e+43      -2.041173476305e+52       9.491934543454e-06       1.141273311780e+00 
